Status,Sample File,Sample Name,Comments,Analysis Method,Panel,Size Standard,Run Name,REF,SQI,SFNF,SQ,UD1,UD2,UD3,Plate,Lane, Well,Marker,Allele 1,Allele 2,Allele 3,Allele 4,Allele 5,Allele 6,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6
TRUE,Box2-B4-RA_25-3_H16.fsa,Box2-B4-RA_25-3,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,636_,B01,060_,Apple2019_Box5-6_Plate1-2_PM1r,58,H16,,,,,,,,,,,,,
TRUE,Box3-D2-KN_26-01_H17.fsa,Box3-D2-KN_26-01,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,740_,B02,068_,Apple2019_Box5-6_Plate1-2_PM1r,73,H17,,,,,,,,,,,,,
TRUE,Box2-B5-PR_16-10_H18.fsa,Box2-B5-PR_16-10,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,644_,B01,068_,Apple2019_Box5-6_Plate1-2_PM1r,73,H18,,,,,,,,,,,,,
TRUE,Box3-D3-KN_12-06_H19.fsa,Box3-D3-KN_12-06,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,748_,B02,076_,Apple2019_Box5-6_Plate1-2_PM1r,74,H19,,,,,,,,,,,,,
TRUE,Box2-B6-RA_01-10_H20.fsa,Box2-B6-RA_01-10,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,652_,B01,076_,Apple2019_Box5-6_Plate1-2_PM1r,74,H20,,,,,,,,,,,,,
TRUE,Box3-D4-KL_28-6_H21.fsa,Box3-D4-KL_28-6,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,756_,B02,084_,Apple2019_Box5-6_Plate1-2_PM1r,89,H21,,,,,,,,,,,,,
TRUE,Box2-B7-RA_25-15_H22.fsa,Box2-B7-RA_25-15,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,660_,B01,084_,Apple2019_Box5-6_Plate1-2_PM1r,89,H22,,,,,,,,,,,,,
TRUE,Box3-D5-KL_28-3_H23.fsa,Box3-D5-KL_28-3,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,764_,B02,092_,Apple2019_Box5-6_Plate1-2_PM1r,90,H23,,,,,,,,,,,,,
TRUE,Box2-B8-RA_25-10_H24.fsa,Box2-B8-RA_25-10,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,668_,B01,092_,Apple2019_Box5-6_Plate1-2_PM1r,90,H24,,,,,,,,,,,,,
TRUE,PI_588850-11_RBL_I03.fsa,PI_588850-11_RBL,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,397_,A01,013_,Apple2019_Box5-6_Plate1-2_PM1r,8,I03,,,,,,,,,,,,,
TRUE,PI_588817-05_McR_I08.fsa,PI_588817-05_McR,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,509_,A02,029_,Apple2019_Box5-6_Plate1-2_PM1r,24,I08,,,,,,,,,,,,,
TRUE,Box3-D6-KL_28-1_J01.fsa,Box3-D6-KL_28-1,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,677_,B02,005_,Apple2019_Box5-6_Plate1-2_PM1r,7,J01,,,,,,,,,,,,,
